Title,URL
"‘Parasite’ star’s death is the latest in long line of sudden South Korean celebrity losses","https://www.cnn.com/2023/12/29/asia/lee-sun-kyun-death-south-korea-celebrity-losses-analysis-intl-hnk/index.html"
"Bricks baked when Nebuchadnezzar II was king absorbed a power surge in Earth’s magnetic field","https://www.cnn.com/2023/12/27/world/ancient-bricks-magnetic-field-anomaly-scn/index.html"
"Not any low-carb diet will do. Here’s what works","https://www.cnn.com/2023/12/27/health/low-carb-weight-loss-over-time-wellness/index.html"
"Are you using these ‘therapy-speak’ terms correctly? Experts explain","https://www.cnn.com/2023/12/28/health/therapy-speak-popular-terms-2023-wellness/index.html"
"What lessons from trauma therapy can teach us about grief","https://www.cnn.com/2023/12/29/health/grief-how-to-cope-wellness/index.html"
"Spellbinding photos capture the ‘mermaid’ divers of South Korea","https://www.cnn.com/style/korea-haenyeo-divers-unesco-last-mermaid/index.html"
"Look of the week: The hidden meaning behind this royal scarf","https://www.cnn.com/style/royal-scarf-king-charles-lotw/index.html"
"The secret history of the world’s most popular tarot cards","https://www.cnn.com/style/popular-tarot-cards-history-meaning/index.html"
"How leggings became a multibillion-dollar industry","https://www.cnn.com/style/gym-leggings-billion-dollar-industry/index.html"
"Why this morning-after portrait of Faye Dunaway became an iconic Hollywood moment","https://www.cnn.com/style/terry-oneill-faye-dunaway-snap/index.html"
"The places you can’t visit in 2024","https://www.cnn.com/travel/tourist-attractions-closed-2024/index.html"
"Eating 12 grapes and wearing red underwear: New Year’s superstitions explained","https://www.cnn.com/videos/travel/2023/12/20/new-years-superstitions-contd-lon-orig-tp.cnn"
"Unaccompanied 6-year-old put on wrong flight","https://www.cnn.com/2023/12/24/travel/spirit-airlines-6-year-old-wrong-flight/index.html"
"Holiday flying in 2023 vs. 2022: What a difference","https://www.cnn.com/2023/12/27/travel/airlines-winter-holiday-improvement/index.html"
"Bad things happened on airplanes in 2023. Here are the worst","https://www.cnn.com/travel/unfortunate-airplane-incidents-2023/index.html"
"2024 brings shiny new airplanes, seats and airport improvements","https://www.cnn.com/travel/aviation-developments-2024/index.html"
"Jason Sudeikis and Olivia Wilde’s kids adorably crash his ESPN interview","https://www.cnn.com/2023/12/27/entertainment/jason-sudeikis-espn-interview-kids/index.html"
"The best movies of 2023: Finding bright spots in another rough year for Hollywood","https://www.cnn.com/2023/12/27/entertainment/best-movies-2023/index.html"
"Mariah Carey’s 7-year relationship is over","https://www.cnn.com/2023/12/27/entertainment/mariah-carey-bryan-tanaka-split/index.html"
"Kennedy Center Honors was a night of massive stars","https://www.cnn.com/2023/12/28/entertainment/2023-kennedy-center-honors/index.html"
"Chris Harrison is ‘grateful’ for breakup with the ‘Bachelor’ franchise","https://www.cnn.com/2023/12/29/entertainment/chris-harrison-bachelor-breakup/index.html"
"Cher files for conservatorship of son","https://www.cnn.com/2023/12/28/entertainment/cher-conservatorship-elijah-allman/index.html"
"The Supreme Court could correct Mitch McConnell’s huge mistake","https://www.cnn.com/2023/12/24/opinions/trump-supreme-court-us-senate-colorado-obeidallah/index.html"
"What my cat taught me about life after Covid","https://www.cnn.com/2023/12/26/opinions/covid-cat-mental-health-ripley/index.html"
"The accidental revelation in ‘Ferrari’","https://www.cnn.com/2023/12/25/opinions/ferrari-adam-driver-penelope-cruz-berlatsky/index.html"
"Share the 17 syllables a day that changed your lives","https://www.cnn.com/2023/12/28/opinions/daily-haiku-practice-poetry-matters-taylor/index.html"
